Category;FullScientificName;ScientificName;FrenchName;Rarete
A;Aquila nipalensis Hodgson, 1833;Aquila nipalensis;Aigle des steppes;Epique
A;Aquila adalberti Brehm, CL, 1861;Aquila adalberti;Aigle ibérique;Legendaire
A;Aquila heliaca Savigny, 1809;Aquila heliaca;Aigle impérial;Legendaire
A;Aquila chrysaetos (Linnaeus, 1758);Aquila chrysaetos;Aigle royal;Rare
A;Aquila fasciata Vieillot, 1822;Aquila fasciata;Aigle de Bonelli;Rare
A;Accipiter nisus (Linnaeus, 1758);Accipiter nisus;Epervier d'Europe;Commun
A;Astur gentilis (Linnaeus, 1758);Astur gentilis;Autour des palombes;Commun
A;Circus aeruginosus (Linnaeus, 1758);Circus aeruginosus;Busard des roseaux ;Commun
A;Circus cyaneus (Linnaeus, 1766);Circus cyaneus;Busard Saint-Martin;Commun
A;Circus hudsonius (Linnaeus, 1766);Circus hudsonius;Busard d'Amérique;Epique
A;Circus macrourus (Gmelin, SG, 1770);Circus macrourus;Busard pâle;Rare
A;Circus pygargus (Linnaeus, 1758);Circus pygargus;Busard cendré;Commun
A;Milvus milvus (Linnaeus, 1758);Milvus milvus;Milan royal;Commun
A;Milvus migrans (Boddaert, 1783);Milvus migrans;Milan noir ;Commun
A;Haliaeetus albicilla (Linnaeus, 1758);Haliaeetus albicilla;Pygargue à queue blanche;Rare
A;Buteo lagopus (Pontoppidan, 1763);Buteo lagopus;Buse pattue;Rare
A;Buteo rufinus (Cretzschmar, 1829);Buteo rufinus;Buse féroce;Epique
A;Buteo buteo (Linnaeus, 1758);Buteo buteo;Buse variable;Commun
A;Tyto alba (Scopoli, 1769);Tyto alba;Effraie des clochers;Commun
A;Aegolius funereus (Linnaeus, 1758);Aegolius funereus;Chouette de Tengmalm;Rare
A;Athene noctua (Scopoli, 1769);Athene noctua;Chevêche d'Athéna;Commun
A;Glaucidium passerinum (Linnaeus, 1758);Glaucidium passerinum;Chevêchette d'Europe;Rare
A;Otus scops (Linnaeus, 1758);Otus scops;Petit-duc scops;Commun
A;Asio otus (Linnaeus, 1758);Asio otus;Hibou moyen-duc;Commun
A;Asio flammeus (Pontoppidan, 1763);Asio flammeus;Hibou des marais;Rare
A;Bubo scandiacus (Linnaeus, 1758);Bubo scandiacus;Harfang des neiges;Legendaire
A;Bubo bubo (Linnaeus, 1758);Bubo bubo;Grand-duc d'Europe;Rare
A;Strix aluco Linnaeus, 1758;Strix aluco;Chouette hulotte;Commun
A;Upupa epops Linnaeus, 1758;Upupa epops;Huppe fasciée;Commun
A;Coracias garrulus Linnaeus, 1758;Coracias garrulus;Rollier d'Europe;Rare
A;Alcedo atthis (Linnaeus, 1758);Alcedo atthis;Martin-pêcheur d'Europe;Commun
A;Merops persicus Pallas, 1773;Merops persicus;Guêpier de Perse;Legendaire
A;Merops apiaster Linnaeus, 1758;Merops apiaster;Guêpier d'Europe;Commun
A;Jynx torquilla Linnaeus, 1758;Jynx torquilla;Torcol fourmilier;Commun
A;Picoides tridactylus (Linnaeus, 1758);Picoides tridactylus;Pic tridactyle;Rare
A;Dendrocoptes medius (Linnaeus, 1758);Dendrocoptes medius;Pic mar;Commun
A;Dryobates minor (Linnaeus, 1758);Dryobates minor;Pic épeichette;Commun
A;Dendrocopos major (Linnaeus, 1758);Dendrocopos major;Pic épeiche;Commun
A;Dendrocopos leucotos (Bechstein, 1802);Dendrocopos leucotos;Pic à dos blanc;Rare
A;Dryocopus martius (Linnaeus, 1758);Dryocopus martius;Pic noir;Commun
A;Picus viridis Linnaeus, 1758;Picus viridis;Pic vert;Commun
A;Picus sharpei (Saunders, H, 1872);Picus sharpei;Pic de Sharpe;Commun
A;Picus canus Gmelin, JF, 1788;Picus canus;Pic cendré;Rare
A;Falco naumanni Fleischer, JG, 1818;Falco naumanni;Faucon crécerellette;Rare
A;Falco tinnunculus Linnaeus, 1758;Falco tinnunculus;Faucon crécerelle;Commun
A;Falco vespertinus Linnaeus, 1766;Falco vespertinus;Faucon kobez;Rare
A;Falco eleonorae Géné, 1839;Falco eleonorae;Faucon d'Éléonore;Rare
A;Falco concolor Temminck, 1825;Falco concolor;Faucon concolore;Legendaire
A;Falco columbarius Linnaeus, 1758;Falco columbarius;Faucon émerillon;Rare
A;Falco subbuteo Linnaeus, 1758;Falco subbuteo;Faucon hobereau;Commun
A;Falco biarmicus Temminck, 1825;Falco biarmicus;Faucon lanier;Legendaire
A;Falco cherrug Gray, JE, 1834;Falco cherrug;Faucon sacre;Legendaire
A;Falco rusticolus Linnaeus, 1758;Falco rusticolus;Faucon gerfaut;Epique
A;Falco peregrinus Tunstall, 1771;Falco peregrinus;Faucon pèlerin;Commun
A;Vireo olivaceus (Linnaeus, 1766);Vireo olivaceus;Viréo à œil rouge;Epique
A;Oriolus oriolus (Linnaeus, 1758);Oriolus oriolus;Loriot d'Europe;Commun
A;Lanius excubitor Linnaeus, 1758;Lanius excubitor;Pie-grièche grise;Rare
A;Lanius meridionalis Temminck, 1820;Lanius meridionalis;Pie-grièche méridionale;Rare
A;Lanius nubicus Lichtenstein, MHK, 1823;Lanius nubicus;Pie-grièche masquée;Legendaire
A;Lanius minor Gmelin, JF, 1788;Lanius minor;Pie-grièche à poitrine rose;Rare
A;Lanius senator Linnaeus, 1758;Lanius senator;Pie-grièche à tête rousse;Rare
A;Lanius isabellinus Hemprich & Ehrenberg, 1833;Lanius isabellinus;Pie-grièche isabelle;Epique
A;Lanius collurio Linnaeus, 1758;Lanius collurio;Pie-grièche écorcheur;Commun
A;Lanius phoenicuroides (Schalow, 1875);Lanius phoenicuroides;Pie-grièche du Turkestan;Legendaire
A;Lanius cristatus Linnaeus, 1758;Lanius cristatus;Pie-grièche brune;Epique
